ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,launched_hour,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
1995837361,2500.0,23,2015,9,16,2,2015,8,24,0,17,22,2,112,58.0,0
1404371135,500.0,30,2015,4,1,2,2015,3,2,0,20,22,5,7,6.0,0
307110357,3000.0,30,2015,11,19,3,2015,10,20,1,2,22,3,99,17.0,1
1639491338,5000.0,30,2016,5,12,3,2016,4,12,1,21,22,6,139,19.0,0
666165142,5000.0,29,2012,3,4,6,2012,2,4,5,1,22,12,95,23.0,0
287830994,30000.0,40,2015,11,7,5,2015,9,28,0,18,22,4,113,42.0,0
1897426809,4000.0,46,2011,4,4,0,2011,2,17,3,19,22,12,95,35.0,0
192859469,573.48,7,2017,3,28,1,2017,3,21,1,11,1,12,11,58.0,0
1594825779,30000.0,30,2014,12,10,2,2014,11,10,0,19,22,13,8,8.0,0
602844963,18675.88,25,2014,8,23,5,2014,7,29,1,10,1,12,95,51.0,0
911751508,1746.3,30,2017,7,17,0,2017,6,17,5,12,8,12,115,54.0,0
1051607818,35000.0,30,2017,3,31,4,2017,3,1,2,15,22,6,39,30.0,0
18513223,1110.0,30,2012,7,9,0,2012,6,9,5,3,22,12,95,52.0,0
575878953,3000.0,30,2013,9,29,6,2013,8,30,4,21,22,0,10,25.0,1
1430705595,5000.0,89,2010,8,2,0,2010,5,5,2,2,22,12,54,11.0,0
2119923146,14000.0,60,2014,11,6,3,2014,9,7,6,4,22,13,131,21.0,0
650166953,743.77,33,2015,3,23,0,2015,2,18,2,16,9,6,39,24.0,0
1526032199,5000.0,30,2014,4,20,6,2014,3,21,4,22,22,7,58,29.0,0
667995169,10000.0,33,2013,4,22,0,2013,3,20,2,23,22,3,36,38.0,1
1498592967,10000.0,60,2012,9,30,6,2012,8,1,2,7,22,1,26,33.0,0
212124722,25000.0,21,2015,5,14,3,2015,4,23,3,0,22,6,93,59.0,1
1079311278,1400.0,30,2016,10,8,5,2016,9,8,3,20,22,12,115,15.0,1
1291408607,7009.81,34,2016,2,28,6,2016,1,25,0,22,5,11,97,29.0,0
1115852013,50000.0,57,2013,8,17,5,2013,6,21,4,2,22,13,138,59.0,0
1683869943,77215.31,35,2015,10,16,4,2015,9,11,4,14,9,13,67,59.0,1
246062781,10299.59,30,2017,8,18,4,2017,7,19,2,11,9,12,115,32.0,1
379568390,1200.0,34,2015,4,26,6,2015,3,23,0,19,22,12,54,17.0,0
1209436330,47000.0,45,2014,4,5,5,2014,2,19,2,15,22,13,138,4.0,0
1598303477,3000.0,21,2014,10,10,4,2014,9,19,4,23,22,6,24,27.0,1
175274485,1500.0,25,2015,10,4,6,2015,9,9,2,6,22,10,75,60.0,1
