ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
519827294,23750.71,60,2013,1,29,1,2012,11,30,4,9,6,5,36.0,0
237134477,27500.0,30,2013,9,9,0,2013,8,10,5,22,12,115,24.0,0
1872892787,15000.0,30,2017,9,23,5,2017,8,24,3,22,5,7,35.0,0
554560498,8000.0,30,2016,1,6,2,2015,12,7,0,22,10,30,52.0,0
100365021,2742.49,15,2015,5,27,2,2015,5,12,1,5,4,113,53.0,0
1597797253,12000.0,30,2015,5,13,2,2015,4,13,0,22,7,41,11.0,0
1792937102,15210.28,44,2016,11,9,2,2016,9,26,0,1,13,138,49.0,0
1595215715,4000.0,30,2012,4,18,2,2012,3,19,0,22,11,104,51.0,1
2122352378,5300.0,30,2014,11,6,3,2014,10,7,1,22,6,45,38.0,0
1891491512,35000.0,35,2016,6,19,6,2016,5,15,6,22,9,77,41.0,0
1807643330,30000.0,30,2015,3,22,6,2015,2,20,4,22,10,68,22.0,0
926877452,750.0,30,2017,6,7,2,2017,5,8,0,22,7,44,21.0,0
987476626,25000.0,30,2013,8,8,3,2013,7,9,1,22,6,55,15.0,0
599445638,856.67,20,2016,2,13,5,2016,1,24,6,9,12,115,34.0,0
434325011,30000.0,20,2017,9,17,6,2017,8,28,0,22,10,156,57.0,0
1153457204,30000.0,30,2017,10,25,2,2017,9,25,0,22,8,136,51.0,1
1223690262,20000.0,30,2015,8,21,4,2015,7,22,2,22,13,85,40.0,1
1517724791,2375.86,7,2015,4,26,6,2015,4,19,6,1,6,3,41.0,1
1776025850,8869.97,59,2014,10,27,0,2014,8,29,4,3,4,22,32.0,0
340003427,2000.0,22,2013,3,23,5,2013,3,1,4,22,12,100,35.0,1
238771687,800.0,30,2016,10,30,6,2016,9,30,4,22,6,24,29.0,1
1840255242,4000.0,30,2014,3,9,6,2014,2,7,4,22,11,104,25.0,1
1719187201,2000.0,30,2016,4,17,6,2016,3,18,4,22,5,7,12.0,0
1761895934,10000.0,20,2015,10,26,0,2015,10,6,1,22,0,114,49.0,1
928086852,50000.0,59,2015,11,15,6,2015,9,17,3,22,6,39,58.0,1
1081318825,4000.0,32,2013,3,18,0,2013,2,14,3,22,4,113,11.0,1
1462111493,15000.0,30,2017,7,20,3,2017,6,20,1,22,8,136,17.0,1
1776890450,2277.63,12,2015,3,2,0,2015,2,18,2,9,6,39,57.0,1
1363599294,10000.0,60,2014,9,13,5,2014,7,15,1,22,7,58,25.0,0
1463354493,90307.04,60,2015,1,24,5,2014,11,25,1,9,6,55,22.0,0
653144232,2000.0,27,2017,6,2,4,2017,5,6,5,22,1,66,29.0,1
1399049002,4500.0,32,2017,10,4,2,2017,9,2,5,22,10,90,20.0,0
398584472,5000.0,20,2013,9,15,6,2013,8,26,0,22,12,11,24.0,1
1209636429,5000.0,30,2012,8,9,3,2012,7,10,1,22,4,65,31.0,0
787833936,8235.49,10,2017,8,6,6,2017,7,27,3,17,13,138,56.0,0
914380322,1000.0,30,2011,7,24,6,2011,6,24,4,22,0,114,50.0,1
848376804,30000.0,47,2015,8,2,6,2015,6,16,1,22,8,148,17.0,0
533381065,2000.0,30,2017,3,15,2,2017,2,13,0,22,10,47,15.0,1
132128874,106726.84,30,2015,11,14,5,2015,10,15,3,9,8,148,13.0,1
2098092333,2500.0,30,2015,7,1,2,2015,6,1,0,22,4,113,42.0,1
1510990204,9000.0,30,2013,4,20,5,2013,3,21,3,22,4,65,33.0,0
571737074,500.0,3,2017,10,17,1,2017,10,14,5,22,8,136,16.0,1
739355727,18000.0,30,2012,3,23,4,2012,2,22,2,22,6,93,17.0,0
870429279,1500.0,30,2014,12,8,0,2014,11,8,5,22,8,136,20.0,1
1343011560,285.46,30,2014,10,19,6,2014,9,19,4,3,2,34,16.0,1
48961092,15000.0,30,2017,9,20,2,2017,8,21,0,22,11,103,55.0,0
433347912,1000.0,14,2012,9,21,4,2012,9,7,4,22,10,90,39.0,1
394079523,100.0,60,2016,3,3,3,2016,1,3,6,22,8,148,59.0,1
1727333699,20000.0,38,2014,9,1,0,2014,7,25,4,22,13,67,36.0,0
798076819,4000.0,30,2012,11,21,2,2012,10,22,0,22,0,10,55.0,1
1606013046,5000.0,30,2013,7,8,0,2013,6,8,5,22,0,10,37.0,0
2027800183,7000.0,40,2010,7,26,0,2010,6,16,2,22,6,129,14.0,0
330847971,5000.0,25,2015,7,28,1,2015,7,3,4,22,0,114,34.0,1
904010225,4000.0,30,2013,2,14,3,2013,1,15,1,22,7,58,55.0,1
657100828,12040.94,30,2015,1,26,0,2014,12,27,5,9,0,128,41.0,0
183903779,15000.0,11,2012,10,5,4,2012,9,24,0,22,6,153,56.0,0
1538294633,16000.0,35,2010,10,12,1,2010,9,7,1,22,9,77,19.0,0
502353276,394.14,30,2015,5,20,2,2015,4,20,0,1,13,151,14.0,0
828932564,1151.83,17,2017,9,3,6,2017,8,17,3,21,13,8,55.0,0
572662374,1041.28,60,2015,3,21,5,2015,1,20,1,9,6,39,26.0,0
1366380663,2000.0,30,2015,7,15,2,2015,6,15,0,22,8,106,23.0,0
316553949,2000.0,36,2012,3,11,6,2012,2,4,5,22,6,129,4.0,0
1919861326,5000.0,30,2012,10,5,4,2012,9,5,2,22,10,72,22.0,1
411214004,100000.0,30,2016,6,17,4,2016,5,18,2,22,13,133,38.0,1
765400814,10000.0,25,2013,11,5,1,2013,10,11,4,22,7,58,48.0,0
1423801715,5000.0,30,2013,2,7,3,2013,1,8,1,22,10,90,30.0,1
762324281,85000.0,45,2015,4,25,5,2015,3,11,2,22,13,138,11.0,0
287016677,3000.0,28,2015,3,18,2,2015,2,18,2,22,4,113,14.0,1
1157948245,372.22,15,2016,11,3,3,2016,10,19,2,3,13,138,51.0,1
1209345385,500.0,30,2014,9,17,2,2014,8,18,0,22,8,63,16.0,0
889166677,18555.63,30,2017,4,15,5,2017,3,16,3,3,8,148,18.0,1
1051067551,3999.0,30,2013,7,11,3,2013,6,11,1,22,12,120,40.0,0
2049813886,58964.09,30,2015,8,5,2,2015,7,6,0,9,11,103,32.0,0
240037053,20000.0,31,2014,6,27,4,2014,5,27,1,22,8,148,41.0,0
1380027063,7500.0,35,2014,8,25,0,2014,7,21,0,22,6,39,3.0,1
1539364681,100000.0,37,2012,6,21,3,2012,5,15,1,22,8,148,11.0,1
1208203509,7525.59,23,2015,1,27,1,2015,1,4,6,9,6,40,8.0,0
749339506,1000.0,30,2013,1,12,5,2012,12,13,3,22,4,113,24.0,0
661010980,10000.0,30,2014,7,10,3,2014,6,10,1,22,14,141,10.0,1
1209040193,1000.0,29,2016,5,14,5,2016,4,15,4,22,10,125,42.0,1
1202748116,1000.0,30,2013,12,26,3,2013,11,26,1,22,6,39,39.0,0
181407939,20000.0,30,2013,4,2,1,2013,3,3,6,22,5,52,40.0,0
1198880876,1500.0,30,2017,2,9,3,2017,1,10,1,22,2,34,49.0,0
759834075,22000.0,36,2014,4,17,3,2014,3,12,2,22,4,113,31.0,1
215177254,8000.0,40,2013,4,7,6,2013,2,26,1,22,6,129,24.0,1
1042721916,4000.0,25,2015,9,18,4,2015,8,24,0,22,4,65,19.0,0
529820114,10000.0,37,2016,9,8,3,2016,8,2,1,22,8,136,8.0,1
146792417,8000.0,30,2017,3,1,2,2017,1,30,0,22,12,1,17.0,1
205215615,10000.0,30,2014,11,15,5,2014,10,16,3,22,4,113,15.0,1
481711356,15000.0,30,2014,11,14,4,2014,10,15,2,22,12,115,54.0,1
1513392754,2196.94,30,2015,2,16,0,2015,1,17,5,1,4,113,54.0,0
2082057000,6000.0,17,2015,11,21,5,2015,11,4,2,22,6,129,8.0,1
1410323264,3000.0,17,2016,9,30,4,2016,9,13,1,22,12,19,35.0,0
973370048,415.94,24,2017,6,12,0,2017,5,19,4,3,6,39,41.0,0
1652173419,7500.0,45,2015,6,1,0,2015,4,17,4,22,6,39,39.0,0
1947914653,800.0,30,2016,5,1,6,2016,4,1,4,22,8,148,41.0,1
1262474800,3000.0,26,2014,6,22,6,2014,5,27,1,22,0,10,18.0,0
240201599,1393.02,12,2014,7,21,0,2014,7,9,2,3,0,70,11.0,0
1950549335,500.0,28,2015,6,24,2,2015,5,27,2,22,8,106,14.0,1
386678231,5000.0,30,2012,4,18,2,2012,3,19,0,22,10,68,10.0,0
1088973624,15000.0,30,2014,10,26,6,2014,9,26,4,22,8,88,28.0,0
